Iteration = 1, x_min = 4.8, y_min = 5.15, f = 32019.7 
Iteration = 2, x_min = 4.7, y_min = 5.375, f = 27952.8 
Iteration = 3, x_min = 4.25, y_min = 5.5875, f = 15573.1 
Iteration = 4, x_min = 3.825, y_min = 6.14375, f = 7210.69 
Iteration = 5, x_min = 2.7125, y_min = 6.84688, f = 29.0224 
Iteration = 6, x_min = 2.7125, y_min = 6.84688, f = 29.0224 
Iteration = 7, x_min = 2.7125, y_min = 6.84688, f = 29.0224 
Iteration = 8, x_min = 2.7125, y_min = 6.84688, f = 29.0224 
Iteration = 9, x_min = 2.7125, y_min = 6.84688, f = 29.0224 
Iteration = 10, x_min = 2.72617, y_min = 6.93486, f = 27.6955 
Iteration = 11, x_min = 2.62451, y_min = 7.01204, f = 4.176 
Iteration = 12, x_min = 2.62451, y_min = 7.01204, f = 4.176 
Iteration = 13, x_min = 2.62451, y_min = 7.01204, f = 4.176 
Iteration = 14, x_min = 2.65505, y_min = 7.02574, f = 2.79477 
Iteration = 15, x_min = 2.65505, y_min = 7.02574, f = 2.79477 
Iteration = 16, x_min = 2.65505, y_min = 7.02574, f = 2.79477 
Iteration = 17, x_min = 2.64229, y_min = 6.98932, f = 2.70292 
Iteration = 18, x_min = 2.64229, y_min = 6.98932, f = 2.70292 
Iteration = 19, x_min = 2.64229, y_min = 6.98932, f = 2.70292 
Iteration = 20, x_min = 2.63557, y_min = 6.93035, f = 2.70031 
Iteration = 21, x_min = 2.61443, y_min = 6.83789, f = 2.60709 
Iteration = 22, x_min = 2.61443, y_min = 6.83789, f = 2.60709 
Iteration = 23, x_min = 2.56208, y_min = 6.56452, f = 2.4401 
Iteration = 24, x_min = 2.56208, y_min = 6.56452, f = 2.4401 
Iteration = 25, x_min = 2.46745, y_min = 6.10624, f = 2.18554 
Iteration = 26, x_min = 2.4067, y_min = 5.75916, f = 2.08784 
Iteration = 27, x_min = 2.31207, y_min = 5.30088, f = 1.92203 
Iteration = 28, x_min = 2.31207, y_min = 5.30088, f = 1.92203 
Iteration = 29, x_min = 2.27484, y_min = 5.16019, f = 1.64677 
Iteration = 30, x_min = 2.27484, y_min = 5.16019, f = 1.64677 
Iteration = 31, x_min = 2.27484, y_min = 5.16019, f = 1.64677 
Iteration = 32, x_min = 2.17969, y_min = 4.7671, f = 1.41743 
Iteration = 33, x_min = 2.13832, y_min = 4.54364, f = 1.37862 
Iteration = 34, x_min = 1.92735, y_min = 3.64572, f = 1.33524 
Iteration = 35, x_min = 2.10626, y_min = 4.43089, f = 1.22678 
Iteration = 36, x_min = 1.89528, y_min = 3.53297, f = 1.15123 
Iteration = 37, x_min = 1.89528, y_min = 3.53297, f = 1.15123 
Iteration = 38, x_min = 1.86322, y_min = 3.42022, f = 1.00921 
Iteration = 39, x_min = 1.97673, y_min = 3.89736, f = 0.964171 
Iteration = 40, x_min = 1.94467, y_min = 3.78461, f = 0.893227 
Iteration = 41, x_min = 1.94467, y_min = 3.78461, f = 0.893227 
Iteration = 42, x_min = 1.83149, y_min = 3.32809, f = 0.760257 
Iteration = 43, x_min = 1.84031, y_min = 3.40785, f = 0.750728 
Iteration = 44, x_min = 1.72713, y_min = 2.95133, f = 0.628773 
Iteration = 45, x_min = 1.68818, y_min = 2.88259, f = 0.580148 
Iteration = 46, x_min = 1.68818, y_min = 2.88259, f = 0.580148 
Iteration = 47, x_min = 1.44051, y_min = 2.06033, f = 0.215801 
Iteration = 48, x_min = 1.44051, y_min = 2.06033, f = 0.215801 
Iteration = 49, x_min = 1.44051, y_min = 2.06033, f = 0.215801 
Iteration = 50, x_min = 1.44051, y_min = 2.06033, f = 0.215801 
Iteration = 51, x_min = 1.34772, y_min = 1.8103, f = 0.124574 
Iteration = 52, x_min = 1.34772, y_min = 1.8103, f = 0.124574 
Iteration = 53, x_min = 1.34772, y_min = 1.8103, f = 0.124574 
Iteration = 54, x_min = 1.34772, y_min = 1.8103, f = 0.124574 
Iteration = 55, x_min = 1.34772, y_min = 1.8103, f = 0.124574 
Iteration = 56, x_min = 1.34772, y_min = 1.8103, f = 0.124574 
Iteration = 57, x_min = 1.26772, y_min = 1.60064, f = 0.0758837 
Iteration = 58, x_min = 1.26772, y_min = 1.60064, f = 0.0758837 
Iteration = 59, x_min = 1.26772, y_min = 1.60064, f = 0.0758837 
Iteration = 60, x_min = 1.26772, y_min = 1.60064, f = 0.0758837 
Iteration = 61, x_min = 1.23891, y_min = 1.54027, f = 0.0599535 
Iteration = 62, x_min = 1.16052, y_min = 1.33261, f = 0.0459186 
Iteration = 63, x_min = 1.13171, y_min = 1.27224, f = 0.0246171 
Iteration = 64, x_min = 1.13171, y_min = 1.27224, f = 0.0246171 
Iteration = 65, x_min = 1.13171, y_min = 1.27224, f = 0.0246171 
Iteration = 66, x_min = 1.05809, y_min = 1.10713, f = 0.0188157 
Iteration = 67, x_min = 1.1293, y_min = 1.27533, f = 0.0167193 
Iteration = 68, x_min = 1.01767, y_min = 1.02922, f = 0.00446188 
Iteration = 69, x_min = 1.01767, y_min = 1.02922, f = 0.00446188 
Iteration = 70, x_min = 1.01767, y_min = 1.02922, f = 0.00446188 
Iteration = 71, x_min = 1.02321, y_min = 1.05052, f = 0.00180819 
Iteration = 72, x_min = 1.02321, y_min = 1.05052, f = 0.00180819 
Iteration = 73, x_min = 1.02788, y_min = 1.0544, f = 0.00123897 
Iteration = 74, x_min = 0.998111, y_min = 0.99628, f = 3.85168e-06 
Iteration = 75, x_min = 0.998111, y_min = 0.99628, f = 3.85168e-06 
Iteration = 76, x_min = 0.998111, y_min = 0.99628, f = 3.85168e-06 
Iteration = 77, x_min = 0.998111, y_min = 0.99628, f = 3.85168e-06 
Converged!
